koi_period,koi_prad,koi_srad,koi_steff,koi_slogg,label,mission
1.04562195,1.45,1.013,5344.0,4.365,1.0,Kepler
5.71462396,1.78,1.013,5344.0,4.365,1.0,Kepler
102.9641952,39.0,7.119,5047.0,3.066,0.0,Kepler
8.14515981,3.43,1.24,5896.0,4.197,1.0,Kepler
18.9985279,43.17,1.24,5896.0,4.197,1.0,Kepler
4.24439049,2.07,1.24,5896.0,4.197,1.0,Kepler
90.1240507,7.12,1.215,6520.0,4.375,1.0,Kepler
28.5742692,2.32,0.812,5551.0,4.508,1.0,Kepler
856.672115,3.87,1.309,6449.0,4.232,1.0,Kepler
0.689210173,1.32,0.954,5630.0,4.505,1.0,Kepler
7.34373964,1.84,0.762,5757.0,4.597,1.0,Kepler
0.445277068,35.74,1.064,6167.0,4.444,0.0,Kepler
0.379463865,59.56,1.783,5075.0,3.892,0.0,Kepler
9.88047978,23.6,0.917,6113.0,4.512,0.0,Kepler
4.6484156,5.06,3.482,6980.0,3.577,0.0,Kepler
17.512014768,13.66,1.132,6224.0,4.33,0.0,Kepler
3.9886021,34.39,13.652,4813.0,2.472,1.0,Kepler
0.533059312,133.56,4.051,8523.0,3.559,1.0,Kepler
0.525154153,23.61,0.846,5582.0,4.497,0.0,Kepler
1.303861044,27.85,0.902,5758.0,4.475,0.0,Kepler
2.55549176,23.35,0.901,5948.0,4.508,0.0,Kepler
2.947376671,403.59,2.234,8090.0,4.002,0.0,Kepler
224.7789355,7.67,1.235,5873.0,4.293,1.0,Kepler
0.890110752,1.25,0.711,4768.0,4.628,0.0,Kepler
5.76573396,7.47,4.434,5772.0,3.364,0.0,Kepler
7.42608123,2.47,1.176,6049.0,4.353,1.0,Kepler
15.9868932,1.62,1.176,6049.0,4.353,1.0,Kepler
0.73094589,17.12,0.848,5901.0,4.553,0.0,Kepler
18.92537246,13.92,4.885,4941.0,3.317,1.0,Kepler
0.933749106,3.22,2.188,6215.0,3.849,0.0,Kepler
2.037440623,1.19,1.015,6253.0,4.415,0.0,Kepler
129995.7784,2.99,0.726,4500.0,4.572,1.0,Kepler
31.5925809,1.78,1.487,5676.0,4.1,1.0,Kepler
17.157236,1.55,1.487,5676.0,4.1,1.0,Kepler
1.97376085,8.78,0.503,3807.0,4.762,1.0,Kepler
13.118962443,8.25,4.24,7221.0,3.488,1.0,Kepler
4.618767792,7.48,1.033,6013.0,4.381,0.0,Kepler
7.82187328,2.78,4.24,7221.0,3.488,1.0,Kepler
53.5057611,2.52,1.762,6247.0,4.016,1.0,Kepler
2.785821236,1.69,1.733,6202.0,4.026,1.0,Kepler
52.56901867,78.54,1.717,7240.0,4.178,0.0,Kepler
3.411758679,14.71,0.561,3995.0,4.71,0.0,Kepler
0.525426427,1.45,0.802,5791.0,4.575,0.0,Kepler
1.269091415,1.41,0.766,5041.0,4.576,1.0,Kepler
2.853133997,1.36,0.766,5041.0,4.576,1.0,Kepler
6.79685353,2.01,0.97,6061.0,4.486,1.0,Kepler
8.667822346,67.37,1.889,6266.0,3.923,0.0,Kepler
1.475323222,5.88,4.885,4941.0,3.317,1.0,Kepler
4.15246118,7.62,4.885,4941.0,3.317,1.0,Kepler
8.7348852,1.59,0.96,5982.0,4.493,1.0,Kepler
10.26547688,1.81,0.853,5699.0,4.553,0.0,Kepler
13.4471791,5.24,1.041,6276.0,4.405,1.0,Kepler
3.305577989,25.89,0.707,5534.0,4.629,0.0,Kepler
4.800653901,16.91,1.241,6715.0,4.347,0.0,Kepler
15.06649901,56.44,1.626,5751.0,4.028,0.0,Kepler
34.82008158,11.36,0.784,5114.0,4.522,0.0,Kepler
0.651784374,33.65,1.061,5555.0,4.375,0.0,Kepler
1.353771892,430.99,15.76,4283.0,2.012,0.0,Kepler
18.95491633,71.39,2.534,6362.0,3.761,0.0,Kepler
4.348866254,2436.69,101.451,3598.0,0.65,0.0,Kepler
47.93094546,68.02,1.938,8214.0,4.104,0.0,Kepler
3.99751422,2.98,5.324,5066.0,3.122,0.0,Kepler
1.592633181,1.56,0.651,4506.0,4.626,0.0,Kepler
67.5923754,12.1,1.744,6038.0,4.082,1.0,Kepler
17.02902786,2.54,1.067,5839.0,4.327,1.0,Kepler
6.84619236,1.67,1.067,5839.0,4.327,1.0,Kepler
67.8321638,2.39,1.067,5839.0,4.327,1.0,Kepler
43.1312147,2.39,1.067,5839.0,4.327,1.0,Kepler
1.224866441,1.54,1.107,5553.0,4.32,1.0,Kepler
37.8102649,2.33,0.973,6085.0,4.451,1.0,Kepler
25.93406406,2.48,1.225,5952.0,4.287,1.0,Kepler
83.4463485,2.73,1.225,5952.0,4.287,1.0,Kepler
7.04710032,25.2,1.068,5766.0,4.363,0.0,Kepler
12.99204853,2.03,1.242,5765.0,4.236,1.0,Kepler
11.11620211,8.96,0.996,6122.0,4.471,0.0,Kepler
1.922861499,5.09,0.911,5778.0,4.531,0.0,Kepler
0.635445336,19.0,0.55,3920.0,4.7,0.0,Kepler
1.665784138,97.27,2.789,6261.0,3.686,0.0,Kepler
55.6639167,34.14,0.853,5587.0,4.528,0.0,Kepler
52.09081627,7.14,1.324,6198.0,4.237,1.0,Kepler
7.1548608,7.41,1.739,7443.0,4.166,0.0,Kepler
4.28746668,2.29,0.815,5296.0,4.576,1.0,Kepler
2.002779769,1.42,0.892,5346.0,4.44,0.0,Kepler
8.18739443,1.92,0.849,5251.0,4.494,1.0,Kepler
76.0498163,1.75,0.849,5251.0,4.494,1.0,Kepler
3.341799486,1.67,1.235,5873.0,4.293,1.0,Kepler
3.3226948,15.33,16.959,5234.0,2.41,0.0,Kepler
36.97708808,38.6,1.239,5589.0,4.193,0.0,Kepler
1.851409163,20.42,1.469,7117.0,4.176,0.0,Kepler
1.303859704,0.98,1.521,6802.0,4.103,0.0,Kepler
